,,value,value,value,value,value,value,value,value
,,count,mean,std,min,25%,50%,75%,max
program,variable,,,,,,,,
0,accum_prob,207.0,0.9535024154589372,0.05534822458770491,0.6194999999999999,0.9475,0.9724999999999999,0.9855,0.997
0,couplers_success,207.0,0.9770241545893719,0.016878978024763597,0.892,0.9710000000000001,0.9825,0.989,0.994
0,success0,207.0,0.9620048309178745,0.06180650180902759,0.624,0.959,0.986,0.992,0.998
0,success1,207.0,0.9450000000000001,0.0567239953677933,0.615,0.9305000000000001,0.964,0.982,0.996
0,success_diff,207.0,0.017004830917874404,0.04268028552699065,-0.16800000000000004,0.0020000000000000018,0.014000000000000012,0.02849999999999997,0.21000000000000008
2,accum_prob,10.0,0.7821999999999999,0.14375523178885233,0.5965,0.625,0.827,0.9163749999999999,0.923
2,couplers_success,10.0,0.75805,0.400534119090441,0.0,0.907375,0.9315,0.9692500000000001,0.9835
2,success0,10.0,0.9503999999999999,0.04371930669369972,0.854,0.934,0.956,0.987,0.993
2,success1,10.0,0.614,0.2514539940249729,0.259,0.381,0.698,0.84525,0.853
2,success_diff,10.0,0.33640000000000003,0.2182171191980847,0.137,0.14450000000000002,0.258,0.48799999999999993,0.675
3,accum_prob,4.0,0.78725,0.12313711869294326,0.611,0.762875,0.8202499999999999,0.844625,0.8975
3,couplers_success,4.0,0.966625,0.012492497748648983,0.9485,0.96425,0.9705,0.972875,0.977
3,success0,4.0,0.6425,0.2005999335327241,0.352,0.6107499999999999,0.7024999999999999,0.73425,0.813
3,success1,4.0,0.9319999999999999,0.04670474636836531,0.87,0.915,0.938,0.955,0.982
3,success_diff,4.0,-0.28950000000000004,0.15553884830913892,-0.518,-0.308,-0.23550000000000004,-0.21700000000000008,-0.16900000000000004
5,accum_prob,1.0,0.61,,0.61,0.61,0.61,0.61,0.61
5,couplers_success,1.0,0.477,,0.477,0.477,0.477,0.477,0.477
5,success0,1.0,0.81,,0.81,0.81,0.81,0.81,0.81
5,success1,1.0,0.41,,0.41,0.41,0.41,0.41,0.41
5,success_diff,1.0,0.4000000000000001,,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001
6,accum_prob,3.0,0.8868333333333333,0.11440097610306185,0.755,0.85025,0.9455,0.95275,0.96
6,couplers_success,3.0,0.47583333333333333,0.017337339280677783,0.4565,0.46875,0.481,0.4855,0.49
6,success0,3.0,0.8666666666666667,0.12800130207671068,0.719,0.827,0.935,0.9405,0.946
6,success1,3.0,0.907,0.10243046421841498,0.791,0.868,0.945,0.965,0.985
6,success_diff,3.0,-0.04033333333333333,0.03744774136491191,-0.07200000000000006,-0.061,-0.04999999999999993,-0.024499999999999966,0.0010000000000000009
