hardware_specghz_e_index,my_ghz,default_ghz,bf12_e_index,my_bitflip12,default_bitflip12,bf13_e_index,my_bitflip13,default_bitflip13,pf12_e_index,my_phaseflip12,default_phaseflip12,pf12_e_index,my_phaseflip13,default_phaseflip13,my_acc,default_acc,diff
fake_johannesburg,0,0.922,-1,1,0.966,0.951,1,0.966,0.951,1,0.962,0.947,1,0.962,0.947,None,None,None
fake_johannesburg,1,0.898,-1,1,0.966,0.951,1,0.966,0.951,1,0.962,0.947,1,0.962,0.947,None,None,None
fake_johannesburg,1,0.898,-1,1,0.966,0.951,3,0.954,0.954,1,0.962,0.947,3,0.953,0.953,None,None,None
fake_almaden,1,0.853,-1,1,0.953,0.953,1,0.953,0.953,1,0.951,0.951,1,0.951,0.951,None,None,None
fake_almaden,1,0.853,-1,1,0.953,0.953,3,0.86,0.858,1,0.951,0.951,3,0.857,0.855,None,None,None
fake_singapore,0,0.956,-1,2,0.978,0.968,2,0.978,0.968,2,0.977,0.967,2,0.977,0.967,None,None,None
fake_singapore,2,0.958,-1,0,0.977,0.975,2,0.978,0.968,0,0.977,0.974,2,0.977,0.967,None,None,None
fake_singapore,2,0.958,-1,0,0.977,0.975,3,0.971,0.971,0,0.977,0.974,3,0.97,0.97,None,None,None
fake_singapore,2,0.958,-1,1,0.977,0.977,2,0.978,0.968,1,0.977,0.976,2,0.977,0.967,None,None,None
fake_singapore,2,0.958,-1,1,0.977,0.977,3,0.971,0.971,1,0.977,0.976,3,0.97,0.97,None,None,None
fake_tokyo,0,0.89,-1,0,0.941,0.941,0,0.941,0.941,0,0.938,0.938,0,0.938,0.938,None,None,None
fake_tokyo,0,0.89,-1,0,0.941,0.941,3,0.94,0.94,0,0.938,0.938,3,0.938,0.938,None,None,None
fake_tokyo,0,0.89,-1,3,0.94,0.94,0,0.941,0.941,3,0.938,0.938,0,0.938,0.938,None,None,None
fake_tokyo,0,0.89,-1,3,0.94,0.94,3,0.94,0.94,3,0.938,0.938,3,0.938,0.938,None,None,None
fake_tokyo,0,0.89,-1,4,0.957,0.957,0,0.941,0.941,4,0.944,0.944,0,0.938,0.938,None,None,None
fake_tokyo,0,0.89,-1,4,0.957,0.957,3,0.94,0.94,4,0.944,0.944,3,0.938,0.938,None,None,None
fake_tokyo,1,0.923,0.893,0,0.941,0.941,0,0.941,0.941,0,0.938,0.938,0,0.938,0.938,None,None,None
fake_tokyo,1,0.923,0.893,0,0.941,0.941,1,0.938,0.938,0,0.938,0.938,1,0.928,0.928,None,None,None
fake_tokyo,1,0.923,0.893,0,0.941,0.941,3,0.94,0.94,0,0.938,0.938,3,0.938,0.938,None,None,None
fake_tokyo,1,0.923,0.893,0,0.941,0.941,4,0.957,0.957,0,0.938,0.938,4,0.944,0.944,None,None,None
fake_melbourne,0,0.916,-1,0,0.971,0.97,0,0.971,0.97,0,0.972,0.971,0,0.972,0.971,None,None,None
fake_melbourne,2,0.91,-1,1,0.961,0.961,1,0.961,0.961,1,0.961,0.961,1,0.961,0.961,None,None,None
