,experiment,horizon,mean,min,max
0,bitflip-cxh,4,33.72,28.0,45.0
1,bitflip-cxh,5,179.42666666666668,150.0,217.0
2,bitflip-cxh,6,922.5955555555555,780.0,1115.0
3,bitflip-cxh,7,4659.0888888888885,3937.0,5621.0
4,bitflip-ipma,4,19.142222222222223,15.0,29.0
5,bitflip-ipma,5,86.43111111111111,68.0,134.0
6,bitflip-ipma,6,381.8666666666667,304.0,606.0
7,bitflip-ipma,7,1661.32,1325.0,2403.0
8,bitflip-ipma2,1,0.1111111111111111,0.0,1.0
9,bitflip-ipma2,2,0.5777777777777777,0.0,2.0
10,bitflip-ipma2,3,2.8088888888888888,2.0,6.0
11,bitflip-ipma2,4,12.395555555555555,9.0,25.0
12,bitflip-ipma2,5,53.13777777777778,39.0,106.0
13,bitflip-ipma2,6,223.52,168.0,442.0
14,bitflip-ipma2,7,924.8266666666667,695.0,1836.0
15,ghz-embed,3,11.898039215686275,3.0,31.0
16,phaseflip-ipma,1,0.08433734939759036,0.0,1.0
17,phaseflip-ipma,2,0.40963855421686746,0.0,1.0
18,phaseflip-ipma,3,1.9759036144578312,1.0,3.0
19,phaseflip-ipma,4,8.927710843373495,7.0,11.0
20,phaseflip-ipma,5,38.144578313253014,31.0,49.0
21,phaseflip-ipma,6,160.40963855421685,131.0,205.0
22,phaseflip-ipma,7,664.7710843373494,544.0,846.0
23,reset-main,2,0.07692307692307693,0.0,1.0
24,reset-main,3,0.19230769230769232,0.0,1.0
25,reset-main,4,0.6410256410256411,0.0,2.0
26,reset-main,5,1.9679487179487178,1.0,4.0
27,reset-main,6,5.756410256410256,4.0,11.0
28,reset-main,7,17.442307692307693,13.0,32.0
