,hardware,my_guarantee,opt_level2,diffs2,opt_level3,diff3
0,Manhattan,0.981,0.061,0.92,0.062,0.919
1,Rochester,0.947,0.071,0.876,0.069,0.878
2,Sydney,0.986,0.804,0.182,0.814,0.172
3,Bogota,0.971,0.904,0.067,0.896,0.075
4,Cairo,0.989,0.934,0.055,0.982,0.007
5,Washington,0.987,0.934,0.053,0.945,0.042
6,Tenerife,0.923,0.876,0.047,0.915,0.008
7,Melbourne,0.965,0.933,0.032,0.938,0.027
8,Almaden,0.973,0.944,0.029,0.974,-0.001
9,Brooklyn,0.984,0.956,0.028,0.981,0.003
10,Cambridge,0.957,0.932,0.025,0.129,0.828
11,Johannesburg,0.965,0.94,0.025,0.92,0.045
12,Mumbai,0.989,0.965,0.024,0.987,0.002
13,Kolkata,0.988,0.971,0.017,0.979,0.009
14,Casablanca,0.979,0.962,0.017,0.966,0.013
15,Singapore,0.98,0.966,0.014,0.97,0.01
16,Perth,0.984,0.97,0.014,0.987,-0.003
17,Essex,0.969,0.956,0.013,0.964,0.005
18,Auckland,0.99,0.979,0.011,0.984,0.006
19,Belem,0.973,0.964,0.009,0.967,0.006
20,Geneva,0.99,0.982,0.008,0.968,0.022
21,Boeblingen,0.982,0.974,0.008,0.979,0.003
22,Yorktown,0.964,0.956,0.008,0.954,0.01
23,Rome,0.982,0.975,0.007,0.983,-0.001
24,Montreal,0.986,0.979,0.007,0.984,0.002
25,Vigo,0.983,0.977,0.006,0.975,0.008
26,Paris,0.983,0.977,0.006,0.958,0.025
27,Ourense,0.986,0.981,0.005,0.987,-0.001
28,Quito,0.942,0.938,0.004,0.951,-0.009
29,Lagos,0.988,0.984,0.004,0.976,0.012
30,Guadalupe,0.985,0.983,0.002,0.968,0.017
31,Burlington,0.966,0.964,0.002,0.967,-0.001
32,Oslo,0.984,0.982,0.002,0.982,0.002
33,Hanoi,0.99,0.988,0.002,0.986,0.004
34,Jakarta,0.979,0.977,0.002,0.978,0.001
35,Manila,0.982,0.981,0.001,0.978,0.004
36,Nairobi,0.985,0.985,0.0,0.981,0.004
37,Poughkeepsie,0.973,0.973,0.0,0.954,0.019
38,Athens,0.979,0.98,-0.001,0.981,-0.002
39,Tokyo,0.962,0.963,-0.001,0.956,0.006
40,Santiago,0.988,0.989,-0.001,0.985,0.003
41,Toronto,0.985,0.987,-0.002,0.865,0.12
42,London,0.981,0.985,-0.004,0.988,-0.007
43,Lima,0.985,0.99,-0.005,0.985,0.0
