backend,embedding,time
HANOI,0,0.7151379585266113
HANOI,1,0.8959012031555176
HANOI,2,0.7908389568328857
HANOI,3,0.8314929008483887
CAIRO,0,0.7010130882263184
CAIRO,1,0.8836181163787842
CAIRO,2,0.9134340286254883
CAIRO,3,0.8342456817626953
MUMBAI,0,0.9514360427856445
MUMBAI,1,0.7232391834259033
MUMBAI,2,0.790226936340332
MUMBAI,3,0.8260438442230225
KOLKATA,0,0.9596669673919678
KOLKATA,1,0.7883808612823486
KOLKATA,2,0.909365177154541
KOLKATA,3,0.7315802574157715
AUCKLAND,0,0.9368391036987305
AUCKLAND,1,0.7922430038452148
GENEVA,0,0.8915750980377197
GENEVA,1,1.169661045074463
MONTREAL,0,0.6859867572784424
MONTREAL,1,0.781792163848877
MONTREAL,2,0.9231648445129395
PARIS,0,0.861962080001831
PARIS,1,0.7488439083099365
PARIS,2,0.8390548229217529
SYDNEY,0,0.8926529884338379
SYDNEY,1,0.8032519817352295
TORONTO,0,0.9576189517974854
TORONTO,1,0.8930361270904541
TORONTO,2,0.8542721271514893
